# agcnum radeg    decdeg distMpc Vcmb   logL_V logMH gas2L_V AbsMag_i logL_i  gas2L_i sepmin
  238760 204.1825 6.996  105.8   7407.0 9.68   9.04  -0.6385 -19.63   9.685   -0.645  306.68
  8596   204.1962 6.497  100.6   7042.0 10.32  9.95  -0.3694 -21.29   10.3487 -0.3987 335.24
  231420 204.2221 15.968 96.7    6772.0 10.04  9.78  -0.2622 -20.36   9.9742  -0.1942 272.73
  230480 204.2575 9.015  102.0   7138.0 9.84   9.39  -0.4495 -19.95   9.8114  -0.4214 199.93
  238761 204.315  6.771  100.6   7039.0 9.81   9.45  -0.357  -19.93   9.805   -0.355  322.12
  8613   204.3496 6.437  106.6   7465.0 10.44  10.08 -0.362  -21.19   10.3096 -0.2296 341.64
  238762 204.3742 7.307  101.1   7080.0 9.55   9.58  0.0277  -19.04   9.4481  0.1319  293.64
  233813 204.5038 10.24  106.5   7458.0 9.09   9.44  0.3463  -17.97   9.0181  0.4219  155.81
  8623   204.5562 6.466  106.0   7422.0 10.13  9.74  -0.3887 -20.57   10.0614 -0.3214 344.4 
  8626   204.5979 6.887  105.3   7373.0 10.58  9.92  -0.6587 -21.97   10.619  -0.699  322.03
  233895 204.7246 10.67  106.5   7452.0 9.56   9.17  -0.3882 -19.2    9.5114  -0.3414 153.44
  8633   204.7229 14.743 104.8   7339.0 10.44  9.93  -0.5137 -21.52   10.4394 -0.5094 223.93
  233658 204.7996 15.441 102.3   7161.0 9.0    9.37  0.3661  -17.47   8.8182  0.5518  260.61
  230516 204.8254 12.724 101.5   7105.0 10.36  10.01 -0.3523 -21.24   10.3266 -0.3166 153.98
  233659 204.8871 15.223 95.6    6689.0 8.81   9.17  0.3621  -17.35   8.7738  0.3962  252.7 
  238764 204.9042 6.997  104.1   7286.0 8.04   9.07  1.0298  -15.2    7.9103  1.1597  323.99
  8644   205.0054 7.367  103.8   7268.0 9.8    9.78  -0.018  -19.82   9.7582  0.0218  307.38
  233902 205.015  10.971 107.0   7490.0 9.13   9.29  0.1633  -18.17   9.1009  0.1891  162.58
  238614 205.1687 7.893  101.9   7131.0 8.79   9.11  0.3214  -17.34   8.7676  0.3424  286.01
  233663 205.2821 15.399 97.4    6821.0 8.85   9.52  0.6732  -17.41   8.7966  0.7234  274.86
  233664 205.3417 14.939 96.0    6723.0 9.52   9.51  -0.0052 -19.14   9.489   0.021   256.17
  8660   205.3537 13.856 106.3   7439.0 10.06  9.71  -0.3451 -20.31   9.9554  -0.2454 213.65
  233668 205.4671 14.834 95.2    6661.0 8.76   9.43  0.6693  -16.66   8.4954  0.9346  256.63
  233815 205.4671 9.121  102.4   7169.0 8.28   9.33  1.0462  -15.97   8.2187  1.1113  242.48
  238767 205.6746 7.516  103.7   7259.0 9.87   9.67  -0.2032 -19.85   9.7727  -0.1027 321.98
  233835 205.8525 7.913  103.4   7236.0 8.28   9.27  0.9855  -15.88   8.1845  1.0855  310.14
  238768 205.86   7.976  103.4   7239.0 7.79   9.17  1.3823  -14.81   7.7552  1.4148  307.63
  233678 205.875  15.051 105.3   7368.0 10.02  9.53  -0.4857 -20.58   10.0643 -0.5343 282.67
  233679 205.9187 13.385 96.4    6749.0 9.59   9.56  -0.0333 -19.4    9.5934  -0.0334 228.27
  230610 205.9604 13.25  97.6    6832.0 9.3    9.52  0.2227  -18.76   9.3364  0.1836  227.3 
  233816 206.13   8.271  101.6   7110.0 9.47   9.41  -0.0574 -18.61   9.2764  0.1336  305.98
  231009 206.1858 15.524 99.6    6975.0 10.22  9.77  -0.4506 -21.16   10.2976 -0.5276 315.35
  231476 206.4375 7.515  103.4   7237.0 10.39  9.84  -0.5524 -21.35   10.3717 -0.5317 351.17
  232427 206.5283 12.038 101.5   7103.0 8.98   9.34  0.362   -17.52   8.8398  0.5002  244.0 
  231485 206.7125 14.415 97.0    6787.0 10.21  9.75  -0.4642 -21.03   10.246  -0.496  298.18
  233680 206.7192 15.969 97.4    6820.0 8.9    9.32  0.4225  -17.53   8.845   0.475   356.04
  233836 206.7983 8.002  103.8   7269.0 8.38   9.2   0.8204  -15.99   8.2293  0.9707  346.09
  233683 206.8183 13.298 96.8    6778.0 8.99   9.43  0.4405  -17.79   8.9496  0.4804  275.26
  233684 206.8854 14.266 96.0    6719.0 9.1    9.33  0.233   -18.11   9.074   0.256   302.4 
  230666 207.0254 12.072 104.2   7293.0 10.14  9.84  -0.2978 -20.51   10.0379 -0.1979 273.23
  713652 207.0446 10.176 106.8   7478.0 9.97   9.32  -0.6484 -20.36   9.9765  -0.6565 291.29
  230723 207.3696 13.877 106.7   7468.0 9.77   9.57  -0.1954 -19.86   9.7758  -0.2058 317.65
  233689 207.5912 14.141 109.5   7663.0 9.57   9.5   -0.0714 -19.3    9.5514  -0.0514 335.79
  233691 207.5796 14.352 102.9   7205.0 9.29   9.26  -0.0301 -18.54   9.2473  0.0127  340.57
  230750 207.7538 13.773 92.0    6437.0 9.67   9.51  -0.1594 -19.56   9.6545  -0.1445 336.2 
  233692 207.7475 13.938 98.9    6921.0 9.22   9.31  0.0895  -18.48   9.2242  0.0858  339.39
  233693 207.7633 13.983 91.0    6368.0 8.87   9.06  0.1914  -17.39   8.7874  0.2726  341.25
  233564 207.8537 10.177 108.2   7574.0 9.49   9.66  0.1709  -19.06   9.4545  0.2055  336.58
  8766   207.8788 14.092 103.7   7257.0 11.02  9.94  -1.0828 -23.16   11.0971 -1.1571 349.95
  233561 207.9113 14.343 105.3   7370.0 9.31   9.52  0.2113  -18.72   9.3209  0.1991  357.74
  8772   208.035  14.116 101.1   7077.0 10.67  9.57  -1.097  -22.4    10.7917 -1.2217 358.91
  232558 208.2617 12.553 97.1    6794.0 9.47   9.6   0.1343  -18.61   9.2745  0.3255  348.0 
