agcnum      ra     dec    
333279  350.4621  25.15805
333280  350.5016  23.96611
333528  350.6004  28.73445
333281  350.6346  24.59306
333529  350.6625  28.96861
333530  350.6683  29.00361
333531  350.7833  29.00333
330331  350.8396  29.43083
333282  350.9375  24.01722
332936  350.9758  27.88972
330436  350.9996  27.81750
333283  351.0379  24.28361
330400  351.1092  25.38500
332924  351.1367  27.85306
333383  351.1466  31.42194
333532  351.1983  29.49222
333533  351.2258  28.67972
333385A 351.2496  31.37000
333534  351.2600  28.94694
333386B 351.2625  31.35000
332925  351.2883  25.84417
333535  351.3416  28.35111
330427  351.3416  28.85806
333285  351.3483  25.13778
333388  351.4329  30.40306
333389  351.4612  29.99667
332926  351.4912  27.04083
333536  351.5266  28.70333
332169  351.5621  28.06055
333537  351.5746  28.94583
332897  351.5950  30.66194
332927  351.6117  26.82222
332929  351.6304  26.93750
330446  351.6425  25.64250
333538  351.6533  29.68972
