# AGC ra dec z zerr petroR90_r petroR50_r expAB_r petroMag_u petroMag_g petroMag_r petroMag_i petroMag_z lnLExp_r lnLDeV_r isoA_r isoPhi_r sigma sigmaErr ew ewErr chisq nu zWarning objID sepagc
# sepagc is separation between AGC position and DR7 position in arcsec
  8938 210.44200134  9.49028015 0.020807 0.1596E-03  30.18   9.35 0.483 16.571215 14.236857 13.449081 13.195614 13.307564 -.522272E+05 -.121981E+05   136.91   40.80     2.474634     0.522461     0.33602399    0.06815400   21.29047966    17     0 587736543089917989    1.05
230954 210.45690918  9.65378761 0.021449 0.8061E-04  13.41   5.74 0.245 17.955780 16.933985 16.678381 16.551889 16.761280 -.333787E+02 -.429299E+03    54.30  116.84     1.554471     0.024414    20.25511551    0.34535399   34.20845795     6     0 587736543089918126    1.07
230955 210.46771240  8.78592682 0.020329 0.1635E-03  16.19   7.01 0.848 15.372700 14.283989 13.892983 13.711738 13.675317 -.437661E+04 -.205860E+05    60.64    3.61     2.097826     1.206054    -2.11341691    0.78613800    1.67412698     8     0 587736542016176238    0.83
249093 210.47615051 11.78749943 0.038821 0.1683E-03  10.67   4.34 0.362 17.471165 16.182981 15.592165 15.236343 14.992897 -.751399E+03 -.335085E+04    49.28  169.05     1.958230     0.043945     7.49788904    0.17540200   20.88484573     7     0 587736478661804165    1.05
  8940 210.49688721  8.93769264 0.019725 0.1849E-03  22.59   7.24 0.627 15.927996 13.967578 13.150693 12.743046 12.493935 -.415253E+05 -.513343E+04   138.54  134.32    36.399544    35.786362     1.64988601    0.20286800   56.12414169    58     0 588017991229243562    1.86
249094 210.50051880 10.83060074 0.013125 0.7377E-05   8.57   3.74 0.469 17.205023 16.037334 15.510722 15.243327 15.118017 -.601536E+03 -.596534E+04    30.72  104.90     1.652306     0.004883    77.53641510    0.72267997  167.51986694     6     0 588017702943588384    2.17
231067 210.51165771  9.96422291 0.037420 0.1615E-03  10.72   3.13 0.521 17.560257 16.292578 15.726864 15.402435 15.221041 -.497304E+04 -.477422E+03    47.08  110.76     2.367818     0.068359     4.43479109    0.11654300   16.48942184     6     0 587736543626789072    1.20
  8942 210.51467896  9.92932224 0.014235 0.1067E-03  16.91   6.08 0.592 14.754736 13.704232 13.326945 13.157901 13.090501 -.113055E+05 -.195938E+05    83.56  153.32     1.742571     0.004883    51.00394058    0.57393199   86.95471954     7     0 587736543626788902    0.55
230964 210.52803040  9.05995655 0.000000 0.0000E+00  17.58   7.97 0.890 17.299057 15.993419 15.487232 15.242122 15.343053 -.103368E+04 -.214744E+04    51.43  110.30     0.000000     0.000000     0.00000000    0.00000000    0.00000000     0    -9 587736542553112615    0.00
230966 210.53330994  9.56690788 0.018896 0.1728E-04  11.43   5.46 0.479 17.342117 16.143557 15.695817 15.492083 15.447870 -.349434E+03 -.271092E+04    46.08   21.17     1.700567     0.014648    33.36102676    0.34129199   23.78052521     6     0 587736543089918174    0.88
