# agcnum   radeg      decdeg    vhel    sepmin    
  713652   207.0446   10.1756   7207    291.2856  
  232554   207.0471   12.4986   14922   277.0478  
  231496   207.0613   15.4306   17215   349.629   
  713655   207.095    8.2114    1160    351.6497  
  713656   207.1133   10.3675   11488   291.449   
  232555   207.1779   12.5458   10888   285.0459  
  233685   207.3083   15.385    11958   359.3613  
  231506   207.3483   8.5075    11386   353.318   
  230723   207.3696   13.8778   7205    317.6512  
  233745   207.4054   14.3339   12168   331.0234  
  232299   207.4542   10.6294   10976   306.6243  
  713671   207.5096   9.2286    14356   339.335   
  233691   207.5796   14.3522   6943    340.5709  
  233689   207.5912   14.1414   7401    335.7884  
  233692   207.7475   13.9375   6659    339.3856  
  230750   207.7538   13.7731   6175    336.2023  
  233693   207.7633   13.9825   6106    341.2479  
  233564   207.8538   10.1769   7306    336.5836  
  8766     207.8788   14.0917   6996    349.9519  
  233695   207.8854   14.2478   11082   354.0143  
  232433   207.8946   11.2383   10984   325.8872  
  233561   207.9113   14.3431   7110    357.7403  
  230762   207.9979   13.9664   10967   353.5967  
  8772     208.035    14.1158   6817    358.9099  
  232436   208.0629   11.5019   11824   334.3925  
  230768   208.0817   13.5758   11031   350.5359  
  232558   208.2617   12.5533   6532    347.996   
  230792   208.3767   11.3433   11296   353.4973  
  233770   208.3854   12.3264   -87     353.8405  
