# agcnum   radeg      decdeg   distMpc   Vcmb      logL_V   logMH   gas2L_V   AbsMag_i   logL_i    gas2L_i   sepmin  
  715835   201.3483   7.909    237.0     16588.0   10.22    10.01   -0.2077   -21.13     10.2857   -0.2757   240.65  
  8438     201.3717   16.179   163.9     11475.0   10.56    10.43   -0.1293   -21.78     10.5442   -0.1142   269.86  
  230320   201.38     11.825   173.1     12120.0   10.53    10.26   -0.2702   -21.88     10.5856   -0.3256   58.77   
  232372   201.4179   11.561   187.5     13123.0   9.97     9.59    -0.3841   -20.49     10.0299   -0.4399   58.16   
  231944   201.4417   13.911   99.9      6990.0    8.97     9.3     0.3263    -17.78     8.9432    0.3568    138.64  
  238755   201.4604   6.592    175.8     12303.0   9.95     9.82    -0.1303   -20.59     10.0687   -0.2487   316.53  
  230324   201.4729   13.298   99.1      6940.0    9.86     9.47    -0.3912   -20.01     9.8369    -0.3669   104.98  
  715840   201.5038   6.223    172.2     12055.0   10.4     9.95    -0.4451   -21.68     10.5042   -0.5542   337.94  
  232595   201.5192   13.736   171.0     11971.0   9.5      9.74    0.2394    -19.18     9.504     0.236     127.23  
  232613   201.5325   14.183   168.7     11806.0   10.18    9.75    -0.4325   -20.61     10.0772   -0.3272   151.99  
  232614   201.5583   14.256   169.4     11859.0   10.04    9.93    -0.1137   -20.42     10.0009   -0.0709   155.61  
  231945   201.5721   13.811   104.5     7313.0    9.6      9.37    -0.2301   -19.39     9.5897    -0.2197   130.2   
  232285   201.5933   10.969   256.6     17965.0   9.83     10.06   0.2349    -19.78     9.7451    0.3149    67.54   
  715845   201.6571   6.296    173.5     12145.0   9.49     9.52    0.0326    -19.07     9.4609    0.0591    332.3   
  233801   201.7063   10.558   178.1     12468.0   9.85     9.8     -0.0522   -20.11     9.8776    -0.0776   83.8    
  8450     201.755    10.056   16.3      1340.0    8.19     8.31    0.1224    -15.79     8.1473    0.1627    110.28  
  713414   201.8408   8.976    197.1     13795.0   10.03    10.08   0.0471    -20.28     9.9423    0.1377    171.72  
  232218   201.855    11.884   105.1     7356.0    10.29    9.29    -1.0019   -21.18     10.3041   -1.0141   31.35   
  232380   201.89     11.73    62.5      4516.0    8.82     9.08    0.2565    -17.43     8.8059    0.2741    29.0    
  8456     201.8954   15.189   105.6     7392.0    10.3     9.59    -0.7111   -21.13     10.2824   -0.6924   206.0   
  715853   202.02     6.266    142.2     9957.0    9.78     9.51    -0.2747   -19.87     9.7782    -0.2682   332.05  
  713424   202.0471   8.149    158.6     11099.0   9.36     9.75    0.3879    -18.81     9.3554    0.3946    219.27  
  233633   202.0562   16.089   65.3      4682.0    7.98     8.78    0.7965    -15.11     7.8775    0.9025    258.72  
  233634   202.0946   13.256   110.2     7714.0    9.1      9.32    0.2154    -17.76     8.9341    0.3859    89.59   
  232504   202.0842   12.762   110.0     7699.0    9.3      9.54    0.2437    -18.42     9.1987    0.3413    60.94   
  232385   202.1171   11.998   200.4     14027.0   10.14    9.92    -0.2163   -20.75     10.1336   -0.2136   19.88   
  232596   202.1267   13.108   109.1     7637.0    9.82     9.28    -0.5358   -20.12     9.8816    -0.6016   80.53   
  232507   202.1492   12.066   104.7     7326.0    9.85     9.41    -0.4408   -20.29     9.9464    -0.5364   21.44   
  230351   202.1671   12.711   110.9     7765.0    10.45    9.63    -0.8237   -21.77     10.5382   -0.9082   56.72   
  233559   202.1971   10.961   16.0      1380.0    6.75     7.42    0.6748    -11.92     6.5981    0.8219    50.79   
  233820   202.205    10.382   102.4     7166.0    9.85     9.64    -0.2133   -20.04     9.8468    -0.2068   85.04   
  232392   202.2179   11.756   106.3     7438.0    9.35     9.6     0.2476    -18.75     9.3309    0.2691    9.72    
